token_address,chain,token_name,howmany_suspicious_urls,howmany_suspicious_addresses,howmany_warnings,error
0x000000096cb3d4007fc2b79b935c4540c5c2d745,eth,Jigsaw USD,20,0,0.0,
0x00000000051b48047be6dc0ada6de5c3de86a588,eth,Baby Shiba Inu,4,0,0.0,
0x0000000000c5dc95539589fbd24be07c6c14eca4,eth,Milady Cult Coin,22,0,0.0,
0x00000000000007c8612ba63df8ddefd9e6077c97,eth,NANI,0,0,0.0,
0x000000000000012def132e61759048be5b5c6033,eth,Cortex,26,0,0.0,
0x0018d5e01e53878f90feab02f1b2019a21adf8b1,eth,Shadowcats,0,0,0.0,
0x0026dfbd8dbb6f8d0c88303cc1b1596409fda542,eth,SANSHU!,18,0,0.0,
0x004f747a91e05d0e2fbe8bf3cd39cdb2bcfab02c,eth,TWEET,4,0,0.0,
0x005e6fd1610302018dcd9caf29b8bc38ff6efd98,eth,Metafox,3,0,0.0,
0x006bea43baa3f7a6f765f14f10a1a1b08334ef45,eth,Stox,1,0,0.0,
0x0079914b3c6ff1867b62c2cf8f108126970eab6e,bsc,Web3 Whales,8,0,0.0,
0x00869e8e2e0343edd11314e6ccb0d78d51547ee5,eth,SuperGrok,0,0,0.0,
0x00d8318e44780edeefcf3020a5448f636788883c,eth,dAppstore Token,3,0,0.0,
0x00e1656e45f18ec6747f5a8496fd39b50b38396d,bsc,Bomber Coin,0,0,0.0,
0x00e2a5eb6369be46a35da704b9b6d3711ed70186,bsc,G8Day,1,0,0.0,
0x00f71afe867b2dbd2ad4ba14fd139bc6bc659ccd,bsc,XOXO Monkey,3,0,0.0,
0x01043bf843b88e1182b1db27bdcc93999aa74c56,eth,TAOTools,0,0,0.0,
0x0123b0a381348f3ba793091923daeb7356ec5862,eth,iPath Series B S&P 500 VIX Short-Term Futures ETN - Dinari,0,0,,Security analysis data not available.
0x0138f5e99cfdffbacf36e543800c19ef16fa294b,eth,Prophet,3,0,0.0,
0x016cf83732f1468150d87dcc5bdf67730b3934d3,bsc,AirNFT Token,4,0,0.0,
0x0173295183685f27c84db046b5f0bea3e683c24b,bsc,Cat,0,0,0.0,
0x01da6501d1083464f9a2c9a8cacf89f2dc160a97,bsc,Torq Swap,4,0,0.0,
0x0231f91e02debd20345ae8ab7d71a41f8e140ce7,bsc,BSC Wrapped Jupiter,1,0,0.0,
0x0255af6c9f86f6b0543357bacefa262a2664f80f,bsc,Immutable,3,0,0.0,
0x0288d3e353fe2299f11ea2c2e1696b4a648ecc07,bsc,ZCore Finance,7,0,0.0,
0x02a40c048ee2607b5f5606e445cfc3633fb20b58,bsc,Kaby Arena,4,0,0.0,
0x02ff5065692783374947393723dba9599e59f591,bsc,YOOSHI,7,0,0.0,
0x03042ae6fcfd53e3a0baa1fab5ce70e0cb74e6fb,eth,Ten Best Coins,0,0,0.0,
0x0305ce989f3055a6da8955fc52b615b0086a2157,bsc,Jace,20,0,0.0,
0x0316eb71485b0ab14103307bf65a021042c6d380,eth,Huobi BTC,0,0,0.0,
0x03183ce31b1656b72a55fa6056e287f50c35bbeb,eth,Accenture xStock,23,0,0.0,
0x033bbde722ea3cdcec73cffea6581df9f9c257de,eth,Velar,3,0,0.0,
0x0343131c0257ac21ea5a8dc83841f071efd9285c,eth,Zenith Coin,2,0,0.0,
0x0348faf029abc241dc741e0bf8790b1d81d22bb3,bsc,Gambly.io,2,0,0.0,
0x037838b556d9c9d654148a284682c55bb5f56ef4,bsc,Lightning,4,0,0.0,
0x038a68ff68c393373ec894015816e33ad41bd564,eth,Glitch,4,0,0.0,
0x0391be54e72f7e001f6bbc331777710b4f2999ef,bsc,TravaFinance Token,3,0,0.0,
0x03aa6298f1370642642415edc0db8b957783e8d6,eth,NetMind Token,0,0,0.0,
0x03d1e72765545729a035e909edd9371a405f77fb,eth,Nabox Token,8,0,0.0,
0x03ff0ff224f904be3118461335064bb48df47938,bsc,Harmony ONE,4,0,0.0,
0x045c2767a6cae0a4551f40e4e8d250af94fe056b,bsc,TonCapy,4,0,0.0,
0x04baf95fd4c52fd09a56d840baee0ab8d7357bf0,bsc,BigONE Token,2,0,0.0,
0x04c154b66cb340f3ae24111cc767e0184ed00cc6,eth,Pirex Ether,7,0,0.0,
0x04c46e830bb56ce22735d5d8fc9cb90309317d0f,eth,Ekubo Protocol,20,0,0.0,
0x04c747b40be4d535fc83d09939fb0f626f32800b,bsc,ITAM,4,0,0.0,
0x04f121600c8c47a754636fc9d75661a9525e05d5,eth,STARS,1,0,0.0,
0x050d94685c6b0477e1fc555888af6e2bb8dfbda5,eth,Inu.,5,0,0.0,
0x05311d9aa0e17d1071986146ced510c85c71b52f,bsc,DOGITA,11,0,0.0,
0x053708a5bc7f1627ddc87e780ee381cf1e31f765,bsc,velaai,2,0,0.0,
0x055999b83f9cade9e3988a0f34ef72817566800d,eth,RTB,17,0,0.0,
0x0565805ca3a4105faee51983b0bd8ffb5ce1455c,bsc,BlockchainSpace [via ChainPort.io],5,0,0.0,
0x05bbe7240de66f6480c9aeda77c1376b13393f83,eth,XENO NFT HUB,3,0,0.0,
0x05fe069626543842439ef90d9fa1633640c50cf1,eth,EVE AI,3,0,0.0,
